Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Cyprus pound   (CYP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Estonian kroon   (EEK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Maltese lira   (MTL)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,Slovenian tolar   (SIT)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2-Jan-2004,,0.506604,,0.233018,0.396028,0.521743,,,,0.0261571,0.113833,,0.847503,0.0147631,,,0.000563551,,,,,0.0606979,,0.100972,1.75045,,,0.180312,0.184904,,0.17948,0.396028,,0.100831,0.093479,,,,0.183267,1.20193,0.673049,
5-Jan-2004,,0.511372,0.15492,0.232277,0.394266,0.52348,0.00114042,0.0809728,,0.0262057,0.113904,,0.848287,0.0146912,,0.00626952,0.000560612,,0.176372,1.9652,0.0257668,,0.444552,0.100914,1.74307,,,,0.184124,0.0227541,0.178723,0.394266,,0.105379,0.093605,0.544799,0.0170187,,0.182495,1.20611,0.670212,
6-Jan-2004,,0.512311,0.153433,0.233452,0.393218,0.521192,0.00115306,0.0807186,,0.0263214,0.114435,,0.852249,0.0146452,0.152852,0.00628815,,2.26711,0.17582,,0.0257341,0.0609117,0.447137,0.0994916,1.73762,,,0.182013,0.183548,0.0228455,0.178164,0.393218,,0.103184,,0.543184,0.017042,0.106716,0.181924,1.21657,0.668116,
7-Jan-2004,,0.514296,0.151602,0.235059,0.394696,0.520042,0.00118532,0.0809353,,0.0262456,0.114048,,0.849389,0.0146815,0.152427,0.0063057,0.000563952,2.27322,0.176294,,0.0259484,0.0614356,0.447907,0.0991179,1.74231,,,0.181363,0.184043,0.0229071,0.178645,0.394696,,,0.0934661,0.540867,0.0171514,0.10678,0.182415,1.21523,0.669918,
8-Jan-2004,,0.515618,0.150408,0.233838,0.395561,0.525074,0.00118251,0.0811222,,0.0262107,0.113898,,0.848329,0.0147445,0.152814,0.00632562,0.000565492,2.27847,0.176701,1.98451,0.026015,0.0616889,0.45015,,1.74633,,,0.181095,0.184468,,0.179057,0.395561,,0.101124,0.0930651,0.538551,0.0172095,,0.182836,1.21683,0.671465,
9-Jan-2004,,0.517585,0.148325,0.233618,0.394004,0.526063,,0.0806668,,0.0261589,0.114184,,0.850423,0.0146743,0.152334,0.00620808,0.000564252,,0.175705,1.98428,0.0258488,0.0616076,,0.0983428,1.73649,,,0.181213,0.183428,0.0230299,0.178048,0.394004,,0.0991357,0.0932187,0.543447,0.0171103,0.106842,0.181805,1.22619,0.667679,
12-Jan-2004,,0.517692,0.149683,0.233975,0.392987,0.521997,0.00118609,0.0803209,,0.0261708,0.114505,,0.852826,0.0146371,0.151646,,0.000562022,2.25591,0.174952,1.97464,0.0258494,0.0614546,0.452839,0.0990902,1.72904,,,0.182361,0.182642,0.023027,0.177284,0.392987,,0.0986374,0.0939669,0.546185,0.017086,,0.181025,1.23144,0.664816,
13-Jan-2004,,0.519466,0.145286,0.237088,0.393934,0.52441,0.00119369,0.0806498,,0.0261404,0.114255,,0.851024,0.0146934,0.151882,0.00626605,0.000566417,2.26509,0.175664,1.97914,0.0259657,0.0615971,0.453715,0.0993144,1.73608,,,0.181057,0.183385,0.0231104,0.178006,0.393934,,0.0959083,0.0931968,0.543806,0.0171604,0.10688,0.181762,1.23158,0.667522,
14-Jan-2004,,0.519284,0.142927,0.238689,0.394864,0.519592,0.00118631,0.0807876,,0.0260494,0.113945,,0.848667,0.014725,0.151796,0.00629508,0.000566712,2.26896,0.175964,,0.0259361,0.0617811,0.455761,0.0990627,1.73905,,,0.178964,0.183699,0.0231619,0.17831,0.394864,,0.0928699,0.0923887,0.543187,0.0171624,0.106502,0.182073,1.22767,0.668663,
15-Jan-2004,,0.518527,0.143101,0.238183,0.395342,0.516299,0.00117135,0.0809628,,0.025958,0.113677,,0.846678,0.0147503,0.151779,0.00630687,0.000567789,2.27385,0.176343,,0.026053,0.0617529,0.455571,0.099125,1.7428,,,0.179015,0.184095,0.0232035,0.178695,0.395342,,0.0935901,0.092301,0.54128,0.0171751,0.106769,0.182466,1.222,0.670105,
